given_name,family_name,other_names,display_name,full_title,gender,date_of_birth,date_of_death,phoneNumber
Nadine,Dorries,Vanessa,Ms Nadine Dorries,Rt Hon Nadine Dorries,Female,,,
Emily,Thornberry,,Emily Thornberry,Rt Hon Emily Thornberry MP,Female,,,
Lisa,Nandy,Eva,Lisa Nandy,Rt Hon Lisa Nandy MP,Female,,,
Mary,Glindon,Theresa,Mary Glindon,Mary Glindon MP,Female,,,
Catherine,McKinnell,,Catherine McKinnell,Catherine McKinnell MP,Female,,,
Emma,Lewell-Buck,Louise,Emma Lewell,Emma Lewell MP,Female,,,
Lucy,Allan,,Lucy Allan,Lucy Allan,Female,,,
Andrea,Jenkyns,Marie,Dame Andrea Jenkyns,Dame Andrea Jenkyns,Female,,,
Amanda,Milling,Anne,Dame Amanda Milling,Rt Hon Dame Amanda Milling,Female,,,
Catherine,Hollern,Malloy,Kate Hollern,Kate Hollern,Female,,,
Nusrat,Ul-Ghani,Munir,Ms Nusrat Ghani,Ms Nusrat Ghani MP,Female,,,
Rachael,Maskell,Helen,Rachael Maskell,Rachael Maskell MP,Female,,,
Carol,Monaghan,Frances,Carol Monaghan,Carol Monaghan,Female,,,
Margaret,Throup,Ann,Maggie Throup,Maggie Throup,Female,,,
Patricia,Gibson,,Patricia Gibson,Patricia Gibson,Female,,,
Joanna,Stevens,Meriel,Jo Stevens,Rt Hon Jo Stevens MP,Female,,,
Victoria,Prentis,Mary Boswell,Baroness Prentis of Banbury,The Rt Hon. the Baroness Prentis of Banbury KC,Female,,,
Tracy,Brabin,Lynn,Tracy Brabin,Tracy Brabin,Female,,,
Rupa,Huq,Asha,Dr Rupa Huq,Dr Rupa Huq MP,Female,,,
Helen,Hayes,Elizabeth,Helen Hayes,Helen Hayes MP,Female,,,
Mary,Twist,Elizabeth,Liz Twist,Liz Twist MP,Female,,,
Gillian,Keegan,,Gillian Keegan,Gillian Keegan,Female,,,
Fiona,Bruce,Claire,Fiona Bruce,Fiona Bruce,Female,,,
Stella,Creasy,Judith,Ms Stella Creasy,Ms Stella Creasy MP,Female,,,
Valerie,Vaz,Carol Marian,Valerie Vaz,Rt Hon Valerie Vaz MP,Female,,,
Katherine,Green,Anne,Kate Green,Kate Green,Female,,,
Johanna,Churchill,Peta,Jo Churchill,Jo Churchill,Female,,,
Philippa,Whitford,,Dr Philippa Whitford,Dr Philippa Whitford,Female,,,
Carolyn,Harris,,Carolyn Harris,Carolyn Harris MP,Female,,,
Mhairi,Black,,Mhairi Black,Mhairi Black,Female,,,
Sue-Ellen,Braverman,Cassiana,Suella Braverman,Rt Hon Suella Braverman KC MP,Female,,,
Kirsty,Blackman,Ann,Kirsty Blackman,Kirsty Blackman MP,Female,,,
Jessica,Phillips,Rose,Jess Phillips,Jess Phillips MP,Female,,,
Deidre,Brock,Leanne,Deidre Brock,Deidre Brock,Female,,,
Miriam,Davies,Jane Alice,Mims Davies,Mims Davies MP,Female,,,
Lucy,Leigh (Frazer),Claire,Lucy Frazer,Rt Hon Lucy Frazer KC,Female,,,
Layla,Moran,Michelle,Layla Moran,Layla Moran MP,Female,,,
Jessica,Morden,Elizabeth,Jessica Morden,Jessica Morden MP,Female,,,
Yasmin,Qureshi,,Yasmin Qureshi,Yasmin Qureshi MP,Female,,,
Caroline,Lucas,,Caroline Lucas,Caroline Lucas,Female,,,
Yvonne,Fovargue,Helen,Yvonne Fovargue,Yvonne Fovargue,Female,,,
Bridget,Phillipson,Maeve,Bridget Phillipson,Rt Hon Bridget Phillipson MP,Female,,,
Julie,Elliott,,Baroness Elliott of Whitburn Bay,The Baroness Elliott of Whitburn Bay,Female,,,
Anne Marie,Morris,,Anne Marie Morris,Anne Marie Morris,Female,,,
Kirsten,Oswald,Frances,Kirsten Oswald,Kirsten Oswald,Female,,,
Victoria,Foxcroft,Jane,Vicky Foxcroft,Vicky Foxcroft MP,Female,,,
Lisa,Cameron,,Dr Lisa Cameron,Dr Lisa Cameron,Female,,,
Alison,Thewliss,Emily,Alison Thewliss,Alison Thewliss,Female,,,
Kate,Osamor,Ofunne,Kate Osamor,Kate Osamor MP,Female,,,
Michelle,Donelan,Emma May Elizabeth,Michelle Donelan,Rt Hon Michelle Donelan,Female,,,
Rosemary,Duffield,Clare,Rosie Duffield,Rosie Duffield MP,Female,,,
Elizabeth,Kendall,Louise,Liz Kendall,Rt Hon Liz Kendall MP,Female,,,
Sheryll,Murray,,Mrs Sheryll Murray,Mrs Sheryll Murray,Female,,,
Rachel,Reeves,Jane,Rachel Reeves,Rt Hon Rachel Reeves MP,Female,,,
Pauline,Latham,Elizabeth,Mrs Pauline Latham,Mrs Pauline Latham,Female,,,
Ruth,Cadbury,Margaret,Ruth Cadbury,Ruth Cadbury MP,Female,,,
Kelly,Tolhurst,Jane,Kelly Tolhurst,Rt Hon Kelly Tolhurst,Female,,,
Amanda,Solloway,Jane,Amanda Solloway,Amanda Solloway,Female,,,
Julia,Lopez,Louise,Julia Lopez,Julia Lopez MP,Female,,,
Helen,Whately,Olivia Bicknell,Helen Whately,Helen Whately MP,Female,,,
Gillian,Furniss,,Gill Furniss,Gill Furniss MP,Female,,,
Rebecca,Clark (Pow),Faye,Rebecca Pow,Rebecca Pow,Female,,,
Catherine,West,Elizabeth,Catherine West,Catherine West MP,Female,,,
Wera,Hobhouse,Benedicta,Wera Hobhouse,Wera Hobhouse MP,Female,,,
Shabana,Mahmood,,Shabana Mahmood,Rt Hon Shabana Mahmood KC MP,Female,,,
Lilian,Greenwood,Rachel,Lilian Greenwood,Lilian Greenwood MP,Female,,,
Sarah,Champion,Deborah,Sarah Champion,Sarah Champion MP,Female,,,
Marion,Fellows,,Marion Fellows,Marion Fellows,Female,,,
Mary,Robinson,Josephine,Mary Robinson,Mary Robinson,Female,,,
Holly,Walker-Lynch,Jamie,Holly Lynch,Holly Lynch,Female,,,
Maria,Caulfield,Colette,Maria Caulfield,Maria Caulfield,Female,,,
Preet,Gill,Kaur,Preet Kaur Gill,Preet Kaur Gill MP,Female,,,
Seema,Malhotra-Saluja,,Seema Malhotra,Seema Malhotra MP,Female,,,
Trudy,Harrison,Lynne,Trudy Harrison,Trudy Harrison,Female,,,
Wendy,Morton,,Wendy Morton,Rt Hon Wendy Morton MP,Female,,,
Rachel,Maclean,Helen,Baroness Maclean of Redditch,The Baroness Maclean of Redditch,Female,,,
Caroline,Ansell,,Caroline Ansell,Caroline Ansell,Female,,,
Margaret,Greenwood,,Margaret Greenwood,Margaret Greenwood,Female,,,
Marie,Rimmer,Elizabeth,Ms Marie Rimmer,Ms Marie Rimmer MP,Female,,,
Christina,Rees,Elizabeth,Christina Rees,Christina Rees,Female,,,
Chinyelu,Onwurah,Susan,Dame Chi Onwurah,Dame Chi Onwurah MP,Female,,,
Deborah,Abrahams,Angela Elspeth Marie,Debbie Abrahams,Debbie Abrahams MP,Female,,,
Joanna,Cherry,Catherine,Joanna Cherry,Joanna Cherry KC,Female,,,
Catherine,Smith,Jane,Cat Smith,Cat Smith MP,Female,,,
Caroline,Johnson,Elizabeth,Dr Caroline Johnson,Dr Caroline Johnson MP,Female,,,
Elizabeth,Roberts,Saville,Liz Saville Roberts,Rt Hon Liz Saville Roberts MP,Female,,,
Alison,McGovern,,Alison McGovern,Alison McGovern MP,Female,,,
Rushanara,Ali,,Rushanara Ali,Rushanara Ali MP,Female,,,
Lucy,Powell,Maria,Lucy Powell,Rt Hon Lucy Powell MP,Female,,,
Victoria,Atkins,,Victoria Atkins,Rt Hon Victoria Atkins MP,Female,,,
Christine,Jardine,Anne,Christine Jardine,Christine Jardine MP,Female,,,
Angela,Crawley,,Angela Crawley,Angela Crawley,Female,,,
Anna,McMorrin,Rhiannon,Anna McMorrin,Anna McMorrin MP,Female,,,
Naseem,Shah,Akhter,Naz Shah,Naz Shah MP,Female,,,
Karin,Smyth,Marguerite,Karin Smyth,Karin Smyth MP,Female,,,
Sarah,Jones,Ann,Sarah Jones,Sarah Jones MP,Female,,,
Tulip,Siddiq,Rizwana,Tulip Siddiq,Tulip Siddiq MP,Female,,,
Emma,Hardy,Ann,Emma Hardy,Emma Hardy MP,Female,,,
Olukemi,Badenoch,Olufunto,Mrs Kemi Badenoch,Rt Hon Kemi Badenoch MP,Female,,,
Eleanor,Reeves,Claire,Ellie Reeves,Rt Hon Ellie Reeves MP,Female,,,
Marsha,De Cordova,Chantal,Marsha De Cordova,Marsha De Cordova MP,Female,,,
Felicia,Drummond,Jane Beatrix,Mrs Flick Drummond,Mrs Flick Drummond,Female,,,
Angela,Rayner,,Angela Rayner,Rt Hon Angela Rayner MP,Female,,,
Judith,Cummins,Mary,Judith Cummins,Judith Cummins MP,Female,,,
Anne-Marie,Trevelyan,Belinda,Anne-Marie Trevelyan,Rt Hon Anne-Marie Trevelyan,Female,,,
Margaret,Ferrier,,Margaret Ferrier,Margaret Ferrier,Female,,,
Hannah,Bardell,Mary,Hannah Bardell,Hannah Bardell,Female,,,
Rebecca,Long-Bailey,,Rebecca Long Bailey,Rebecca Long Bailey MP,Female,,,
Anneliese,Dodds,Jane,Anneliese Dodds,Rt Hon Anneliese Dodds MP,Female,,,
Rosena,Allin-Khan,Chantelle,Dr Rosena Allin-Khan,Dr Rosena Allin-Khan MP,Female,,,
Louise,Haigh,Margaret,Louise Haigh,Rt Hon Louise Haigh MP,Female,,,
Colleen,Fletcher,Margaret,Colleen Fletcher,Colleen Fletcher,Female,,,
Thangam,Debbonaire,,Baroness Debbonaire,The Baroness Debbonaire,Female,,,
Antonia,Antoniazzi,Louise,Tonia Antoniazzi,Tonia Antoniazzi MP,Female,,,
Victoria,Ford,Grace,Vicky Ford,Rt Hon Vicky Ford,Female,,,
Stephanie,Peacock,Louise,Stephanie Peacock,Stephanie Peacock MP,Female,,,
Elizabeth Anne,McLaughlin,,Anne McLaughlin,Anne McLaughlin,Female,,,
Michelle,Gildernew,Angela,Michelle Gildernew,Michelle Gildernew,Female,,,
Sarah,Olney,Jane,Sarah Olney,Sarah Olney MP,Female,,,
Órfhlaith,Begley,Acife,Órfhlaith Begley,Órfhlaith Begley MP,Female,,,
Janet,Daby,Jessica,Janet Daby,Janet Daby MP,Female,,,
Ruth,Jones,Lorraine,Ruth Jones,Ruth Jones MP,Female,,,
Fay,Jones,Alicia,Fay Jones,Fay Jones,Female,,,
Paula,Barker,,Paula Barker,Paula Barker MP,Female,,,
Munira,Wilson,,Munira Wilson,Munira Wilson MP,Female,,,
Mary,Foy,Kelly,Mary Kelly Foy,Mary Kelly Foy MP,Female,,,
Sarah,Owen,Mei Li,Sarah Owen,Sarah Owen MP,Female,,,
Suzanne,Webb,,Suzanne Webb,Suzanne Webb,Female,,,
Claire,Coutinho,Coryl Julia,Claire Coutinho,Rt Hon Claire Coutinho MP,Female,,,
Bethan,Winter,,Beth Winter,Beth Winter,Female,,,
Siobhan,Baillie,Kathleen,Siobhan Baillie,Siobhan Baillie,Female,,,
Kim,Johnson,Marie,Kim Johnson,Kim Johnson MP,Female,,,
Laura,Farris,Rose,Laura Farris,Laura Farris,Female,,,
Apsana,Begum,,Apsana Begum,Apsana Begum MP,Female,,,
Rachel,Hopkins,Louise,Rachel Hopkins,Rachel Hopkins MP,Female,,,
Angela,Richardson,Joy,Angela Richardson,Angela Richardson,Female,,,
Kate,Kniveton,Elizabeth,Kate Kniveton,Kate Kniveton,Female,,,
Miriam,Cates,Joy,Miriam Cates,Miriam Cates,Female,,,
Taiwo,Owatemi,Victoria,Taiwo Owatemi,Taiwo Owatemi MP,Female,,,
Cherilyn,Mackrory,,Cherilyn Mackrory,Cherilyn Mackrory,Female,,,
Olivia,Blake-Dagnall,Frances,Olivia Blake,Olivia Blake MP,Female,,,
Julie,Marson,,Julie Marson,Julie Marson,Female,,,
Alicia,Kearns,Alexandra Martha,Alicia Kearns,Alicia Kearns MP,Female,,,
Felicity,Buchan,Christiana,Felicity Buchan,Felicity Buchan,Female,,,
Katharine,Osborne,Helen,Kate Osborne,Kate Osborne MP,Female,,,
Carla,Lockhart,Rebecca,Carla Lockhart,Carla Lockhart MP,Female,,,
Selaine,Saxby,Rachel,Selaine Saxby,Selaine Saxby,Female,,,
Sarah,Dines,Elizabeth,Miss Sarah Dines,Miss Sarah Dines,Female,,,
Lia,Nici-Townend,,Lia Nici,Lia Nici,Female,,,
Daisy,Cooper,,Daisy Cooper,Daisy Cooper MP,Female,,,
Nicola,Richards,Faye,Nicola Richards,Nicola Richards,Female,,,
Zarah,Sultana,,Zarah Sultana,Zarah Sultana MP,Female,,,
Natalie,Elphicke,Cecilia,Mrs Natalie Elphicke,Mrs Natalie Elphicke,Female,,,
Bellavia,Ribeiro-Addy,Janet,Bell Ribeiro-Addy,Bell Ribeiro-Addy MP,Female,,,
Sarah,Atherton,Elizabeth,Sarah Atherton,Sarah Atherton,Female,,,
Holly,Mumby-Croft,,Holly Mumby-Croft,Holly Mumby-Croft,Female,,,
Theodora,Clarke,Roosevelt,Theo Clarke,Theo Clarke,Female,,,
Katherine,Fletcher,,Katherine Fletcher,Katherine Fletcher,Female,,,
Florence,Eshalomi,Dauta,Florence Eshalomi,Florence Eshalomi MP,Female,,,
Amy,Callaghan,,Amy Callaghan,Amy Callaghan,Female,,,
Joanna,Gideon,Mary,Jo Gideon,Jo Gideon,Female,,,
Wendy,Chamberlain,Anne,Wendy Chamberlain,Wendy Chamberlain MP,Female,,,
Fleur,Anderson,,Fleur Anderson,Fleur Anderson MP,Female,,,
Charlotte,Nichols,Louise,Charlotte Nichols,Charlotte Nichols MP,Female,,,
Sara,Britcliffe,Alice,Sara Britcliffe,Sara Britcliffe,Female,,,
Nicola,Aiken,Jane,Nickie Aiken,Nickie Aiken,Female,,,
Abena,Oppong-Asare,,Ms Abena Oppong-Asare,Ms Abena Oppong-Asare MP,Female,,,
Jane,Hunt,Marion,Jane Hunt,Jane Hunt,Female,,,
Claudia,Webbe,Naomi,Claudia Webbe,Claudia Webbe,Female,,,
Claire,Hanna,Aisling,Claire Hanna,Claire Hanna MP,Female,,,
Nadia,Whittome,Edith,Nadia Whittome,Nadia Whittome MP,Female,,,
Virginia,Crosbie,Ann,Virginia Crosbie,Virginia Crosbie,Female,,,
Laura,Trott,,Laura Trott,Rt Hon Laura Trott MP,Female,,,
Alexandra,Davies-Jones,Mary,Alex Davies-Jones,Alex Davies-Jones MP,Female,,,
Dehenna,Fareham,Sheridan,Dehenna Davison,Dehenna Davison,Female,,,
Feryal,Clark,Demirci,Feryal Clark,Feryal Clark MP,Female,,,
Joy,Morrissey,Inboden,Joy Morrissey,Joy Morrissey MP,Female,,,
Ruth,Edwards,Rosamond,Ruth Edwards,Ruth Edwards,Female,,,
Jane,Stevenson,Fiona Catherine,Jane Stevenson,Jane Stevenson,Female,,,
Sally-Ann,Hart,,Sally-Ann Hart,Sally-Ann Hart,Female,,,
John,Redwood,Alan,Sir John Redwood,Rt Hon Sir John Redwood,Male,,,
Stephen,McCabe,James,Lord McCabe,The Lord McCabe,Male,,,
Stephen,Timms,Creswell,Sir Stephen Timms,Rt Hon Sir Stephen Timms MP,Male,,,
Nicolas,Gibb,John,Nick Gibb,Rt Hon Nick Gibb,Male,,,
Grant,Shapps,,Grant Shapps,Rt Hon Grant Shapps,Male,,,
Christopher,Bryant,John,Chris Bryant,Chris Bryant MP,Male,,,
Jonathan,Djanogly,Simon,Mr Jonathan Djanogly,Mr Jonathan Djanogly,Male,,,
Peter,Bottomley,James,Sir Peter Bottomley,Sir Peter Bottomley,Male,,,
Hilary,Benn,James,Hilary Benn,Rt Hon Hilary Benn MP,Male,,,
Gregory,Knight,,Sir Greg Knight,Rt Hon Sir Greg Knight,Male,,,
Robert,Wallace,Ben Lobban,Mr Ben Wallace,Rt Hon Ben Wallace,Male,,,
Michael,Penning,,Sir Mike Penning,Rt Hon Sir Mike Penning,Male,,,
Wayne,David,,Wayne David,Wayne David,Male,,,
Damian,Green,Howard,Damian Green,Rt Hon Damian Green,Male,,,
Edward,Davey,Jonathon,Ed Davey,Rt Hon Ed Davey MP,Male,,,
John,Twigg,Derek,Derek Twigg,Derek Twigg MP,Male,,,
Graham,Stringer,Eric,Graham Stringer,Graham Stringer MP,Male,,,
Owen,Paterson,William,Mr Owen Paterson,Rt Hon Owen Paterson,Male,,,
George,Howarth,Edward,Sir George Howarth,Rt Hon Sir George Howarth,Male,,,
Alan,Campbell,,Sir Alan Campbell,Rt Hon Sir Alan Campbell MP,Male,,,
Guy,Opperman,Thomas,Guy Opperman,Guy Opperman,Male,,,
Andrew,Stephenson,George,Andrew Stephenson,Rt Hon Andrew Stephenson,Male,,,
Michael,Freer,Whitney,Mike Freer,Mike Freer,Male,,,
Damian,Hinds,Patrick George,Damian Hinds,Rt Hon Damian Hinds MP,Male,,,
Gregory,Hands,William,Greg Hands,Rt Hon Greg Hands,Male,,,
Shailesh,Vara,Lakhman,Shailesh Vara,Rt Hon Shailesh Vara,Male,,,
Anthony,Timpson,Edward,Edward Timpson,Edward Timpson KC,Male,,,
William,Wiggin,David,Sir Bill Wiggin,Sir Bill Wiggin,Male,,,
David,Evennett,Anthony,Sir David Evennett,Rt Hon Sir David Evennett,Male,,,
Gregory,Clark,David,Greg Clark,Rt Hon Greg Clark,Male,,,
David,Jones,Ian,Mr David Jones,Rt Hon David Jones,Male,,,
Alok,Sharma,,Lord Sharma,The Rt Hon. the Lord Sharma KCMG,Male,,,
Dominic,Raab,Rennie,Dominic Raab,Rt Hon Dominic Raab,Male,,,
Christopher,Heaton-Harris,,Chris Heaton-Harris,Rt Hon Chris Heaton-Harris,Male,,,
Andrew,Jones,Hanson,Andrew Jones,Andrew Jones,Male,,,
Mark,Garnier,Robert Timothy,Mark Garnier,Mark Garnier MP,Male,,,
Matthew,Hancock,John David,Matt Hancock,Rt Hon Matt Hancock,Male,,,
Andrew,Percy,Theakstone,Andrew Percy,Andrew Percy,Male,,,
Nigel,Adams,,Nigel Adams,Rt Hon Nigel Adams,Male,,,
Gavin,Williamson,Alexander,Sir Gavin Williamson,Rt Hon Sir Gavin Williamson MP,Male,,,
John,Spellar,,Lord Spellar,The Rt Hon. the Lord Spellar,Male,,,
George,Duncan Smith,Iain,Sir Iain Duncan Smith,Rt Hon Sir Iain Duncan Smith MP,Male,,,
Robert,Syms,Andrew Raymond,Sir Robert Syms,Sir Robert Syms,Male,,,
Gary,Streeter,Nicholas,Sir Gary Streeter,Sir Gary Streeter,Male,,,
Barry,Gardiner,Strachan,Barry Gardiner,Barry Gardiner MP,Male,,,
Michael,Fabricant,Louis David,Michael Fabricant,Michael Fabricant,Male,,,
Alexander,Johnson,Boris de Pfeffel,Boris Johnson,Rt Hon Boris Johnson,Male,,,
Edward,Miliband,Samuel,Ed Miliband,Rt Hon Ed Miliband MP,Male,,,
Andrew,Selous,Edmund Armstrong,Andrew Selous,Andrew Selous,Male,,,
Jeremy,Hunt,Richard Streynsham,Sir Jeremy Hunt,Rt Hon Sir Jeremy Hunt MP,Male,,,
Kevan,Jones,,Lord Beamish,The Rt Hon. the Lord Beamish,Male,,,
Tobias,Ellwood,Martin,Mr Tobias Ellwood,Rt Hon Tobias Ellwood,Male,,,
Mark,Harper,James,Lord Harper,The Rt Hon. the Lord Harper,Male,,,
Mark,Tami,Richard,Sir Mark Tami,Rt Hon Sir Mark Tami MP,Male,,,
Robert,Buckland,James,Sir Robert Buckland,Rt Hon Sir Robert Buckland KC,Male,,,
Oliver,Heald,,Sir Oliver Heald,Rt Hon Sir Oliver Heald KC,Male,,,
Alexander,Beresford,Paul,Sir Paul Beresford,Sir Paul Beresford,Male,,,
Desmond,Swayne,Angus,Sir Desmond Swayne,Rt Hon Sir Desmond Swayne MP,Male,,,
Mark,Francois,Gino,Mr Mark Francois,Rt Hon Mark Francois MP,Male,,,
Kevin,Brennan,,Lord Brennan of Canton,The Lord Brennan of Canton,Male,,,
James,Brokenshire,Peter,James Brokenshire,Rt Hon James Brokenshire,Male,,2021-10-07,
Stephen,Crabb,,Stephen Crabb,Rt Hon Stephen Crabb,Male,,,
John,Penrose,David,John Penrose,John Penrose,Male,,,
Brandon,Lewis,Kenneth,Sir Brandon Lewis,Rt Hon Sir Brandon Lewis,Male,,,
Paul,Maynard,Christopher,Paul Maynard,Paul Maynard,Male,,,
Sajid,Javid,,Sir Sajid Javid,Rt Hon Sir Sajid Javid,Male,,,
Charles,Eustice,George,George Eustice,Rt Hon George Eustice,Male,,,
Christopher,Skidmore,James,Chris Skidmore,Rt Hon Chris Skidmore,Male,,,
Stephen,Brine,Charles,Steve Brine,Steve Brine,Male,,,
Marcus,Jones,Charles,Mr Marcus Jones,Rt Hon Marcus Jones,Male,,,
Julian,Smith,Richard,Sir Julian Smith,Rt Hon Sir Julian Smith MP,Male,,,
Robin,Walker,Caspar,Mr Robin Walker,Mr Robin Walker,Male,,,
Timothy,Loughton,Paul,Tim Loughton,Tim Loughton,Male,,,
Alan,Whitehead,Patrick Vincent,Dr Alan Whitehead,Dr Alan Whitehead,Male,,,
Crispin,Blunt,Jeremy Rupert,Crispin Blunt,Crispin Blunt,Male,,,
Robert,Halfon,Henry,Robert Halfon,Rt Hon Robert Halfon,Male,,,
David,Lammy,Lindon,Mr David Lammy,Rt Hon David Lammy MP,Male,,,
Nicholas,Brown,Hugh,Mr Nicholas Brown,Rt Hon Nicholas Brown,Male,,,
Graham,Stuart,Charles,Graham Stuart,Rt Hon Graham Stuart MP,Male,,,
Robert,Goodwill,,Sir Robert Goodwill,Sir Robert Goodwill,Male,,,
Christopher,Chope,Robert,Sir Christopher Chope,Sir Christopher Chope MP,Male,,,
Andrew,Mitchell,John Bower,Sir Andrew Mitchell,Rt Hon Sir Andrew Mitchell MP,Male,,,
Robert,Neill,James MacGillivray,Sir Robert Neill,Sir Robert Neill KC,Male,,,
Daniel,Poulter,Leonard James,Dr Dan Poulter,Dr Dan Poulter,Male,,,
Mark,Spencer,Steven,Sir Mark Spencer,Rt Hon Sir Mark Spencer,Male,,,
Justin,Tomlinson,Paul,Justin Tomlinson,Justin Tomlinson,Male,,,
Christopher,Pincher,John,Christopher Pincher,Rt Hon Christopher Pincher,Male,,,
Gareth,Thomas,,Gareth Thomas,Gareth Thomas MP,Male,,,
Benjamin,Bradshaw,Peter James,Mr Ben Bradshaw,Rt Hon Ben Bradshaw,Male,,,
John,Healey,,John Healey,Rt Hon John Healey MP,Male,,,
David,Davis,Michael,David Davis,Rt Hon David Davis MP,Male,,,
Stephen,Hammond,William,Stephen Hammond,Stephen Hammond,Male,,,
David,Mundell,Gordon,David Mundell,Rt Hon David Mundell MP,Male,,,
Michael,Gove,Andrew,Lord Gove,The Rt Hon. the Lord Gove,Male,,,
Philip,Dunne,Martin,Philip Dunne,Rt Hon Philip Dunne,Male,,,
Jeremy,Wright,Paul,Sir Jeremy Wright,Rt Hon Sir Jeremy Wright KC MP,Male,,,
Stuart,Andrew,James,Stuart Andrew,Rt Hon Stuart Andrew MP,Male,,,
Steven,Baker,John,Mr Steve Baker,Rt Hon Steve Baker,Male,,,
John,Whittingdale,Flasby Lawrence,Sir John Whittingdale,Rt Hon Sir John Whittingdale MP,Male,,,
Clive,Betts,James Charles,Mr Clive Betts,Mr Clive Betts MP,Male,,,
Liam,Fox,,Sir Liam Fox,Rt Hon Sir Liam Fox,Male,,,
John,Hayes,Henry,Sir John Hayes,Rt Hon Sir John Hayes MP,Male,,,
Anthony,Lloyd,Joseph,Tony Lloyd,Tony Lloyd,Male,,2024-01-17,
Edward,Leigh,Julian Egerton,Sir Edward Leigh,Rt Hon Sir Edward Leigh MP,Male,,,
Michael,Ellis,Tyrone,Sir Michael Ellis,Rt Hon Sir Michael Ellis,Male,,,
Alun,Cairns,Hugh,Alun Cairns,Rt Hon Alun Cairns,Male,,,
Andrew,Murrison,William,Dr Andrew Murrison,Rt Hon Dr Andrew Murrison MP,Male,,,
James,Duddridge,Philip,Sir James Duddridge,Sir James Duddridge,Male,,,
