Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party_x,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address,Member,Party_y,Type of Peerage,Vote
Voicemail,020 7219 2747,Baroness Garden of Frognal,False,gardens@parliament.uk,Liberal Democrat,1,,,3842,Baroness,Garden of Frognal,020 7219 2747,,,,,,
voicemail left,020 7219 2809,Baroness Falkner of Margravine,False,falknerk@parliament.uk,Crossbench,1,,,3670,Baroness,Falkner of Margravine,020 7219 2809,,,Baroness Falkner of Margravine,Crossbench,Life peer,Not Content
Voicemail,020 7219 2955,Baroness Barker,False,contactholmember@parliament.uk,Liberal Democrat,1,,,2501,Baroness,Barker,020 7219 2955,,,,,,
Phone number not working,020 7219 2964,Lord Stephen,False,stephenn@parliament.uk,Liberal Democrat,1,,,4239,Lord,Stephen,020 7219 2964,,,,,,
call didnt go thro,020 7219 3000,Baroness Altmann,False,altmannr@parliament.uk,Non-affiliated,1,,,4533,Baroness,Altmann,020 7219 3000,,,Baroness Altmann,Non-affiliated,Life peer,Not Content
switchboard,020 7219 3000,Lord Kakkar,False,contactholmember@parliament.uk,Crossbench,1,,,3766,Lord,Kakkar,020 7219 3000,,,,,,
call did not go thro,020 7219 3000,Lord Razzall,False,contactholmember@parliament.uk,Liberal Democrat,1,,,3275,Lord,Razzall,020 7219 3000,,,,,,
Email only ,020 7219 3000,Lord Butler of Brockwell,False,lord.butler@univ.ox.ac.uk,Crossbench,1,,,3337,Butler,of Brockwell,020 7219 3000,,,,,,
Email only - NEY,020 7219 3000,Lord Young of Old Windsor,False,contactholmember@parliament.uk,Crossbench,1,,,4982,Young,of Old Windsor,020 7219 3000,,,,,,
Voicemail,020 7219 3125,Lord Wallace of Saltaire,False,wallacew@parliament.uk,Liberal Democrat,1,,,1816,Wallace,of Saltaire,020 7219 3125,,,,,,
"❤️ Done, Promised to speak to colleagues, though busy herelf on welfare reform",020 7219 3143,Baroness Grey-Thompson,False,greythompsont@parliament.uk,Crossbench,1,,,3862,Baroness,Grey-Thompson,020 7219 3143,,,,,,
calling,020 7219 3156,Baroness Butler-Sloss,False,butlerslosse@parliament.uk,Crossbench,1,,,3804,Baroness,Butler-Sloss,020 7219 3156,,,,,,
spoke to some one- he wont be in house today,020 7219 3156,Lord Morse,False,morsea@parliament.uk,Crossbench,1,,,4914,Lord,Morse,020 7219 3156,,,,,,
Away - cannot attend,020 7219 3156,Lord Woolf,False,contactholmember@parliament.uk,Crossbench,1,,,1773,Lord,Woolf,020 7219 3156,,,,,,
No attending,020 7219 3156,Lord Jay of Ewelme,False,jaymh@parliament.uk,Crossbench,1,,,3818,Jay,of Ewelme,020 7219 3156,,,,,,
No answer,020 7219 3156,Lord Burnett of Maldon,False,burnetti@parliament.uk,Crossbench,1,,,4691,Burnett,of Maldon,020 7219 3156,,,,,,
Voicemail,020 7219 3190,Lord Inglewood,False,inglewoodw@parliament.uk,Crossbench,1,,,1980,Lord,Inglewood,020 7219 3190,,,,,,
Voice message,020 7219 3214,Baroness Smith of Newnham,False,jes42@parliament.uk,Liberal Democrat,1,,,4323,Baroness,Smith of Newnham,020 7219 3214,,,,,,
Voice message left,020 7219 3215,Lord Fox,False,contactholmember@parliament.uk,Liberal Democrat,1,,,4322,Lord,Fox,020 7219 3215,,,,,,
Voicemail,020 7219 3526,Lord Wallace of Tankerness,False,wallacej@parliament.uk,Liberal Democrat,1,,,630,Wallace,of Tankerness,020 7219 3526,,,,,,
call doesnt go thro,020 7219 3540,Lord Beith,False,beithalanj@gmail.com,Liberal Democrat,1,,,513,Lord,Beith,020 7219 3540,,,,,,
call goes through but voice mail says email only,020 7219 3551,Lord Alton of Liverpool,False,altond@parliament.uk,Crossbench,1,,,738,Alton,of Liverpool,020 7219 3551,,,,,,
can't make it,020 7219 3670,Baroness D'Souza,False,dsouzaf@parliament.uk,Crossbench,1,,,3709,Baroness,D'Souza,020 7219 3670,,,Baroness D'Souza,Crossbench,Life peer,Content
calling,020 7219 3884,The Earl of Cork and Orrery,False,corkj@parliament.uk,Crossbench,1,,,4574,The,Earl of Cork and Orrery,020 7219 3884,,,,,,
Voice message,020 7219 4195,Baroness Parminter,False,parminterk@parliament.uk,Liberal Democrat,1,,,4178,Baroness,Parminter,020 7219 4195,,,,,,
no answer  - immediate cutoff,020 7219 5021,Lord Wigley,False,contactholmember@parliament.uk,Plaid Cymru,1,,,547,Lord,Wigley,020 7219 5021,,,,,,
voicemail left,020 7219 5083,Baroness Hayman,False,haymanh@parliament.uk,Crossbench,1,,,1649,Baroness,Hayman,020 7219 5083,,,,,,
Voice message left ,020 7219 5101,Lord Freyberg,False,freybergv@parliament.uk,Crossbench,1,,,2593,Lord,Freyberg,020 7219 5101,,,Lord Freyberg,Crossbench,Excepted Hereditary,Content
voicemail left,020 7219 5124,Baroness Campbell of Surbiton,False,campbelljs@parliament.uk,Crossbench,1,,,3831,Baroness,Campbell of Surbiton,020 7219 5124,,,,,,
answered by staff member who can't put you through - try emailing,020 7219 5353 /01277 352001,The Lord Bishop of Chelmsford,False,Bishop.Chelmsford@chelmsford.anglican.org,Bishops,1,,,4922,The,Bishop of Chelmsford,020 7219 5353 / 01277 352001,,,,,,
voicemail,020 7219 5443,Lord McNally,False,mcnallyt@parliament.uk,Liberal Democrat,1,,,919,Lord,McNally,020 7219 5443,,,,,,
No answer,020 7219 5459,Baroness Watkins of Tavistock,False,watkinsm@parliament.uk,Crossbench,1,,,4566,Baroness,Watkins of Tavistock,020 7219 5459,,,,,,
Really receptive ❤️,020 7219 5463,Baroness Brown of Cambridge,False,kingjb@parliament.uk,Crossbench,1,,,4565,Baroness,Brown of Cambridge,020 7219 5463,,,,,,
hangs up automatically ,020 7219 5678,Lord Cromwell,False,cromwellg@parliament.uk,Crossbench,1,,,2594,Lord,Cromwell,020 7219 5678,,,,,,
Voice message,020 7219 5709,Lord Willis of Knaresborough,False,willisg@parliament.uk,Liberal Democrat,1,,,4151,Willis,of Knaresborough,020 7219 5709,,,,,,
Voice message,020 7219 5991,Lord Wrigglesworth,False,younglo@parliament.uk,Crossbench,1,,,3696,Baroness,Young of Hornsey,020 7219 5991,,,,,,
Voice message,020 7219 6047,Baroness Walmsley,False,walmsleyj@parliament.uk,Liberal Democrat,1,,,2547,Baroness,Walmsley,020 7219 6047,,,,,,
Voicemail,020 7219 6067,Lord Hoffmann,False,hoffmann@parliament.uk,Crossbench,1,,,2633,Lord,Hoffmann,020 7219 6067,,,,,,
Lost connection because he was on the underground- left VM - abstaining 'should be done individually ' not sure what that means but he hung up,020 7219 6563,Lord Goddard of Stockport,False,goddardd@parliament.uk,Liberal Democrat,1,,,4334,Goddard,of Stockport,020 7219 6563,,,,,,
voicemail left,020 7219 6693,Baroness Finlay of Llandaff,False,finlayi@parliament.uk,Crossbench,1,,,3609,Baroness,Finlay of Llandaff,020 7219 6693,,,,,,
Voice message,020 7219 6717; Fax.020 7219 2458,Lord Rennard,False,rennardc@parliament.uk,Liberal Democrat,1,,,2484,Lord,Rennard,020 7219 6717; Fax.020 7219 2458,,,,,,
Voicemail left,020 7219 6799,Lord Best,False,best@parliament.uk,Crossbench,1,,,3605,Lord,Best,020 7219 6799,,,,,,
Voicemail left ,020 7219 6861,Lord Aberdare,False,aberdarea@parliament.uk,Crossbench,1,,,3898,Lord,Aberdare,020 7219 6861,,,,,,
Voicemail left,020 7219 8269,Baroness Burt of Solihull,False,burtl@parliament.uk,Liberal Democrat,1,,,1567,Baroness,Burt of Solihull,020 7219 8269,,,,,,
Phone number not working,020 7219 8308,Lord Hope of Craighead,False,hopejad@parliament.uk,Crossbench,1,,,2004,Hope,of Craighead,020 7219 8308,,,,,,
Number doesnt work,020 7219 8310,Baroness Bakewell of Hardington Mandeville,False,bakewellc@parliament.uk,Liberal Democrat,1,,,4285,Baroness,Bakewell of Hardington Mandeville,020 7219 8310,,,,,,
voicemail,020 7219 8501,Lord Newby,False,newbyr@parliament.uk,Liberal Democrat,1,,,1916,Lord,Newby,020 7219 8501,,,,,,
"🔥 Against; She is going in, was unaware it was today",020 7219 8506,Baroness Uddin,False,uddinm@parliament.uk,Non-affiliated,1,Against,,1827,Baroness,Uddin,020 7219 8506,,,Baroness Uddin,Non-affiliated,Life peer,Content
voicemail,020 7219 8621,Lord Bradshaw,False,bradshaww@parliament.uk,Liberal Democrat,1,,,2483,Lord,Bradshaw,020 7219 8621,,,,,,
Voicemail,020 7219 8623,Baroness Northover,False,northoverl@parliament.uk,Liberal Democrat,1,,,2539,Baroness,Northover,020 7219 8623,,,,,,
"Former police officer, skipping",020 7219 8632,Lord Mackenzie of Framwellgate,False,contactholmember@parliament.uk,Non-affiliated,1,,,1881,Mackenzie,of Framwellgate,020 7219 8632,,,,,,
Voicemail,020 7219 8723,Lord Birt,False,birtj@parliament.uk,Crossbench,1,,,2533,Lord,Birt,020 7219 8723,,,,,,
Voicemail,020 7219 8724,Baroness O'Loan,False,oloann@parliament.uk,Crossbench,1,,,3902,Baroness,O'Loan,020 7219 8724,,,,,,
Voice message,020 7219 8739,Lord Roberts of Llandudno,False,contactholmember@parliament.uk,Liberal Democrat,1,,,3691,Roberts,of Llandudno,020 7219 8739,,,,,,
Phone number not working,020 7219 8743,Lord Wrigglesworth,False,wrigglesworthi@parliament.uk,Liberal Democrat,1,,,965,Lord,Wrigglesworth,020 7219 8743,,,,,,
number not working,020 7219 8892,Lord Carrington,False,carringtonr@parliament.uk,Crossbench,1,,,4712,Lord,Carrington,020 7219 8892,,,,,,
nonanswer,020 7219 8901,Baroness Benjamin,False,benjaminf@parliament.uk,Liberal Democrat,1,,,4167,Baroness,Benjamin,020 7219 8901,,,,,,
Voicemail left,020 7219 8907,Lord Laming,False,lamingh@parliament.uk,Crossbench,1,,,2079,Lord,Laming,020 7219 8907,,,,,,
number not working,020 7219 8949,Lord Dannatt,False,dannattr@parliament.uk,Crossbench,1,,,4220,Lord,Dannatt,020 7219 8949,,,,,,
Voice message,020 7219 8952,Lord Curry of Kirkharle,False,curryd@parliament.uk,Crossbench,1,,,4250,Curry,of Kirkharle,020 7219 8952,,,,,,
Phone number not working,020 7219 8997,Lord Patel of Bradford,False,patelkk@parliament.uk,Non-affiliated,1,,,3798,Patel,of Bradford,020 7219 8997,,,,,,
Voicemail left,020 7931 7211; 077 4596 1677,Lord Kilclooney,False,kilclooneyj@parliament.uk,Crossbench,1,,,657,Lord,Kilclooney,020 7931 7211; 077 4596 1677,,,,,,
only contactable via email,0207 219 5353,Baroness Foster of Aghadrumsee,False,fosterab@parliament.uk,Non-affiliated,1,,,4969,Baroness,Foster of Aghadrumsee,0207 219 5353,,,Baroness Foster of Aghadrumsee,Non-affiliated,Life peer,Not Content
only contactable by email,0207 219 5353,Lord Peach,False,contactholmember@parliament.uk,Crossbench,1,,,4975,Lord,Peach,0207 219 5353,,,,,,
"tried calling, phone apparently ""not connecting"" will email now.",0207 219 5353,Lord Teverson,False,teversonr@parliament.uk,Liberal Democrat,1,,,3789,Lord,Teverson,0207 219 5353,,,,,,
voicemail left,0207 219 5353,Baroness Tyler of Enfield,False,tylerc@parliament.uk,Liberal Democrat,1,,,4231,Baroness,Tyler of Enfield,0207 219 5353,,,,,,
message left with assistant,0207 219 5353,The Lord Bishop of Sheffield,False,wilcoxp@parliament.uk,Bishops,1,,,4980,The,Bishop of Sheffield,0207 219 5353,,,,,,
no ext,Tel: 020 7219 5353,Lord Richards of Herstmonceux,False,contactholmember@parliament.uk,Crossbench,1,,,4317,Richards,of Herstmonceux,Tel: 020 7219 5353,,,,,,
Voicemail,,Baroness Smith of Llanfaes,False,carmen.smith@parliament.uk,Plaid Cymru,1,,,5023,Baroness,Smith of Llanfaes,020 7219 5353,,,Baroness Smith of Llanfaes,Plaid Cymru,Life peer,Content
only reachable by email,020 7219 5353,Lord Anderson of Ipswich,False,andersondw@parliament.uk,Crossbench,2,,,4705,Anderson,of Ipswich,020 7219 5353,,,Lord Anderson of Ipswich,Crossbench,Life peer,Not Content
only reachable by email,020 7219 5353,Baroness Bennett of Manor Castle,False,bennettn@parliament.uk,Green Party,2,,,4719,Baroness,Bennett of Manor Castle,020 7219 5353,,,Baroness Bennett of Manor Castle,Green Party,Life peer,Teller - Content
voicemail left,020 7219 5353,Lord Addington,False,contactholmember@parliament.uk,Liberal Democrat,2,,,3453,Lord,Addington,020 7219 5353,,,,,,
vocie message left ,020 7219 5353,Lord Adebowale,False,contactholmember@parliament.uk,Crossbench,2,,,2175,Lord,Adebowale,020 7219 5353,,,,,,
only reachable by email,020 7219 5353,Baroness Batters,False,contactholmember@parliament.uk,Crossbench,2,,,5367,Baroness,Batters,020 7219 5353,,,,,,
no answer,020 7219 5353,Lord Benyon,False,benyonr@parliament.uk,Crossbench,2,,,1547,Lord,Benyon,020 7219 5353,,,,,,
only reachable by email,020 7219 5353,Lord Bew,False,bewp@parliament.uk,Crossbench,2,,,3832,Lord,Bew,020 7219 5353,,,,,,
voice message left,020 7219 5353,Lord Bichard,False,contactholmember@parliament.uk,Crossbench,2,,,3863,Lord,Bichard,020 7219 5353,,,,,,
email only. spoke to their assistant were sympathetic ,020 7219 5353,Lord Bilimoria,False,contactholmember@parliament.uk,Crossbench,2,,,3809,Lord,Bilimoria,020 7219 5353,,,,,,
no answer,020 7219 5353,Lord Bird,False,birdja@parliament.uk,Crossbench,2,,,4564,Lord,Bird,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Black of Strome,False,contactholmember@parliament.uk,Crossbench,2,,,4915,Baroness,Black of Strome,020 7219 5353,,,,,,
goes to voicemail - not left one,020 7219 5353,Baroness Bonham-Carter of Yarnbury,False,contactholmember@parliament.uk,Liberal Democrat,2,,,3699,Baroness,Bonham-Carter of Yarnbury,020 7219 5353,,,,,,
email only,020 7219 5353,Lord Botham,False,contactholmember@parliament.uk,Crossbench,2,,,4884,Lord,Botham,020 7219 5353,,,,,,
voicemail left,020 7219 5353,Baroness Bowles of Berkhamsted,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4562,Baroness,Bowles of Berkhamsted,020 7219 5353,,,,,,
straight to voicemail ,020 7219 5353,Lord Bowness,False,contactholmember@parliament.uk,Crossbench,2,,,3496,Lord,Bowness,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Boycott,False,contactholmember@parliament.uk,Crossbench,2,,,4704,Baroness,Boycott,020 7219 5353,,,,,,
email only,020 7219 5353,Lord Brennan,False,contactholmember@parliament.uk,Non-affiliated,2,,,2550,Lord,Brennan,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Brinton,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4241,Baroness,Brinton,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Bull,False,contactholmember@parliament.uk,Crossbench,2,,,4706,Baroness,Bull,020 7219 5353,,,,,,
email only,020 7219 5353,Lord Burnett,False,contactholmember@parliament.uk,Liberal Democrat,2,,,238,Lord,Burnett,020 7219 5353,,,,,,
email only,020 7219 5353,Lord Burns,False,contactholmember@parliament.uk,Crossbench,2,,,3351,Lord,Burns,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Campbell of Loughborough,False,contactholmember@parliament.uk,Crossbench,2,,,3871,Baroness,Campbell of Loughborough,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Casey of Blackstock,False,contactholmember@parliament.uk,Crossbench,2,,,4896,Baroness,Casey of Blackstock,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Cass,False,rivisn@parliament.uk (staff),Crossbench,2,,,5369,Baroness,Cass,020 7219 5353,,,Baroness Cass,Crossbench,Life peer,Not Content
vociemail left,020 7219 5353,Baroness Cavendish of Little Venice,False,contactholmember@parliament.uk,Crossbench,2,,,4578,Baroness,Cavendish of Little Venice,020 7219 5353,,,,,,
email only,020 7219 5353,Lord Chartres,False,contactholmember@parliament.uk,Crossbench,2,,,1946,Lord,Chartres,020 7219 5353,,,,,,
vociemail left,020 7219 5353,Baroness Chisholm of Owlpen,False,contactholmember@parliament.uk,Non-affiliated,2,,,4330,Baroness,Chisholm of Owlpen,020 7219 5353,,,,,,
only e mail,020 7219 5353,Baroness Clark of Calton,False,contactholmember@parliament.uk,Crossbench,2,,,599,Baroness,Clark of Calton,020 7219 5353,,,,,,
voicemail left,020 7219 5353,Lord Clement-Jones,False,clementjonest@parliament.uk,Liberal Democrat,2,,,3396,Lord,Clement-Jones,020 7219 5353,,,Lord Clement-Jones,Liberal Democrat,Life peer,Content
no ext,020 7219 5353,Lord de Clifford,False,decliffordm@parliament.uk,Crossbench,2,,,4997,de,Clifford,020 7219 5353,,,,,,
"Spoken to him, says he wasn't aware of it but not in his remit as too stretched - seems to deal with school issues not with this.",020 7219 5353,Viscount Colville of Culross,False,colvillec@parliament.uk,Crossbench,2,,,4248,Viscount,Colville of Culross,020 7219 5353,,,,,,
got through switchboard but unavailable,020 7219 5353,Baroness Cox,False,caroline.cox@hart-uk.org,Crossbench,2,,,3364,Baroness,Cox,020 7219 5353,,,,,,
got through switchboard but cut out leaving perosnlised e mail (worked with him in past),020 7219 5353,Lord Crisp,True,crisp@parliament.uk,Crossbench,2,,,3783,Lord,Crisp,020 7219 5353,,,Lord Crisp,Crossbench,Life peer,Not Content
got through switchboard but unavailable,020 7219 5353,Lord Dear,False,deargj@parliament.uk,Crossbench,2,,,3808,Lord,Dear,020 7219 5353,,,,,,
e mail only,020 7219 5353,Baroness Deech,False,deechr@parliament.uk,Crossbench,2,,,3756,Baroness,Deech,020 7219 5353,,,,,,
no number ,020 7219 5353,The Duke of Norfolk,False,contactholmember@parliament.uk,Crossbench,2,,,2194,The,Duke of Norfolk,020 7219 5353,,,,,,
no number ,020 7219 5353,The Duke of Somerset,False,contactholmember@parliament.uk,Crossbench,2,,,3147,The,Duke of Somerset,020 7219 5353,,,,,,
no number,020 7219 5353,The Duke of Wellington,False,contactholmember@parliament.uk,Crossbench,2,,,4541,The,Duke of Wellington,020 7219 5353,,,,,,
left voice mail,020 7219 5353,Lord Dykes,False,dykesh@parliament.uk,Crossbench,2,,,810,Lord,Dykes,020 7219 5353,,,,,,
voicemail ,020 7219 5353,Lord Eames,False,contactholmember@parliament.uk,Crossbench,2,,,2793,Lord,Eames,020 7219 5353,,,,,,
left voicemail,020 7219 5353,The Earl of Clancarty,False,contactholmember@parliament.uk,Crossbench,2,,,3391,The,Earl of Clancarty,020 7219 5353,,,,,,
email only,020 7219 5353,The Earl of Devon,False,contactholmember@parliament.uk,Crossbench,2,,,4707,The,Earl of Devon,020 7219 5353,,,,,,
,020 7219 5353,The Earl of Erroll,False,contactholmember@parliament.uk,Crossbench,2,,,2804,The,Earl of Erroll,020 7219 5353,,,,,,
Spoke to Earl but line disconnected not attening today ,020 7219 5353,The Earl of Glasgow,False,contactholmember@parliament.uk,Liberal Democrat,2,,,2608,The,Earl of Glasgow,020 7219 5353,,,,,,
Left voicemail (Me too),020 7219 5353,The Earl of Kinnoull,False,kinnoull@parliament.uk,Crossbench,2,,,4354,The,Earl of Kinnoull,020 7219 5353,,,,,,
No answer,020 7219 5353,The Earl of Lytton,False,contactholmember@parliament.uk,Crossbench,2,,,1864,The,Earl of Lytton,020 7219 5353,,,,,,
No parlimentry extension number,020 7219 5353,The Earl of Rosslyn,False,contactholmember@parliament.uk,Crossbench,2,,,3135,The,Earl of Rosslyn,020 7219 5353,,,,,,
No parlimentry extension number,020 7219 5353,The Earl of Stair,False,dalrymplej@parliament.uk,Crossbench,2,,,3137,The,Earl of Stair,020 7219 5353,,,,,,
callling,020 7219 5353,Baroness Fairhead,False,contactholmember@parliament.uk,Crossbench,2,,,4690,Baroness,Fairhead,020 7219 5353,,,,,,
voicemail left,020 7219 5353,Lord Faulks,False,contactholmember@parliament.uk,Non-affiliated,2,,,4183,Lord,Faulks,020 7219 5353,,,,,,
voicemail,020 7219 5353,Baroness Featherstone,False,featherstonel@parliament.uk,Liberal Democrat,2,,,1531,Baroness,Featherstone,020 7219 5353,,,,,,
voicemail left,020 7219 5353,Baroness Ford,False,fordm@parliament.uk,Crossbench,2,,,3791,Baroness,Ford,020 7219 5353,,,,,,
Done - this lord speaker doesnt get a vote apparently and has to stay neutral,020 7219 5353,Lord Fowler,False,fowlern@parliament.uk,Crossbench,2,,,315,Lord,Fowler,020 7219 5353,,,,,,
No answer ,020 7219 5353,Baroness Freeman of Steventon,False,freemana@parliament.uk,Crossbench,2,,,5026,Baroness,Freeman of Steventon,020 7219 5353,,,,,,
Voicemail,020 7219 5353,Lord Gadhia,False,contactholmember@parliament.uk,Non-affiliated,2,,,4575,Lord,Gadhia,020 7219 5353,,,,,,
No number available,020 7219 5353,Baroness Gohir,False,contactholmember@parliament.uk,Crossbench,2,,,4944,Baroness,Gohir,020 7219 5353,,,,,,
no number available,020 7219 5353,Lord Grabiner,False,grabinera@parliament.uk / agrabiner@oeclaw.co.uk,Crossbench,2,,,2496,Lord,Grabiner,020 7219 5353,,,,,,
no number available,020 7219 5353,Baroness Greenfield,False,greenfieldsu@parliament.uk,Crossbench,2,,,2166,Baroness,Greenfield,020 7219 5353,,,,,,
didnt answer,020 7219 5353,Lord Greenway,False,contactholmember@parliament.uk,Crossbench,2,,,3569,Lord,Greenway,020 7219 5353,,,,,,
didnt answer,020 7219 5353,Baroness Grender,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4291,Baroness,Grender,020 7219 5353,,,,,,
,020 7219 5353,Baroness Hale of Richmond,False,haleb@parliament.uk,Crossbench,2,,,3652,Baroness,Hale of Richmond,020 7219 5353,,,,,,
Says email only ,020 7219 5353,Baroness Hallett,False,contactholmember@parliament.uk,Crossbench,2,,,4721,Baroness,Hallett,020 7219 5353,,,,,,
,020 7219 5353,Lord Hameed,False,contactholmember@parliament.uk,Crossbench,2,,,3767,Lord,Hameed,020 7219 5353,,,,,,
,020 7219 5353,Lord Hampton,False,pakingtonj@parliament.uk,Crossbench,2,,,4951,Lord,Hampton,020 7219 5353,,,Lord Hampton,Crossbench,Excepted Hereditary,Not Content
,020 7219 5353,Baroness Hamwee,False,hamwees@parliament.uk,Liberal Democrat,2,,,2652,Baroness,Hamwee,020 7219 5353,,,,,,
only contactable via email,020 7219 5353,Lord Hardie,False,contactholmember@parliament.uk,Crossbench,2,,,2647,Lord,Hardie,020 7219 5353,,,,,,
,020 7219 5353,Baroness Harris of Richmond,False,harrisa@parliament.uk,Liberal Democrat,2,,,2505,Baroness,Harris of Richmond,020 7219 5353,,,,,,
,020 7219 5353,Baroness Hoey,False,contactholmember@parliament.uk,Non-affiliated,2,,,210,Baroness,Hoey,020 7219 5353,,,,,,
,020 7219 5353,Lord Hogan-Howe,False,contactholmember@parliament.uk,Crossbench,2,,,4693,Lord,Hogan-Howe,020 7219 5353,,,,,,
,020 7219 5353,Baroness Hogg,False,contactholmember@parliament.uk,Crossbench,2,,,2632,Baroness,Hogg,020 7219 5353,,,,,,
,020 7219 5353,Baroness Humphreys,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4300,Baroness,Humphreys,020 7219 5353,,,,,,
,020 7219 5353,Baroness Hunt of Bethnal Green,False,huntr@parliament.uk,Crossbench,2,,,4725,Baroness,Hunt of Bethnal Green,020 7219 5353,,,Baroness Hunt of Bethnal Green,Crossbench,Life peer,Not Content
Voicemail left ,020 7219 5353,Lord Hussain,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4221,Lord,Hussain,020 7219 5353,,,,,,
Voicemail left ,020 7219 5353,Baroness Hussein-Ece,False,ecem@parliament.uk,Liberal Democrat,2,,,4164,Baroness,Hussein-Ece,020 7219 5353,,,,,,
,020 7219 5353,Lord Janvrin,False,contactholmember@parliament.uk,Crossbench,2,,,3838,Lord,Janvrin,020 7219 5353,,,,,,
,020 7219 5353,Lord St John of Bletso,False,contactholmember@parliament.uk,Crossbench,2,,,2155,St,John of Bletso,020 7219 5353,,,,,,
,020 7219 5353,Baroness Kidron,False,kidronb@parliament.uk,Crossbench,2,,,4258,Baroness,Kidron,020 7219 5353,,,,,,
,020 7219 5353,Lord Krebs,False,contactholmember@parliament.uk,Crossbench,2,,,3736,Lord,Krebs,020 7219 5353,,,,,,
,020 7219 5353,Baroness Lampard,False,contactholmember@parliament.uk,Non-affiliated,2,,,4973,Baroness,Lampard,0207 219 5353,,,,,,
,020 7219 5353,Baroness Lane-Fox of Soho,False,contactholmember@parliament.uk,Crossbench,2,,,4275,Baroness,Lane-Fox of Soho,020 7219 5353,,,,,,
,020 7219 5353,Lord Lebedev,False,contactholmember@parliament.uk,Crossbench,2,,,4900,Lord,Lebedev,020 7219 5353,,,,,,
,020 7219 5353,Lord Lisvane,False,contactholmember@parliament.uk,Crossbench,2,,,4351,Lord,Lisvane,020 7219 5353,,,,,,
,020 7219 5353,Lord Londesborough,False,contactholmember@parliament.uk,Crossbench,2,,,2047,Lord,Londesborough,020 7219 5353,,,,,,
,020 7219 5353,Lord Loomba,False,loombar@parliament.uk,Crossbench,2,,,4209,Lord,Loomba,020 7219 5353,,,Lord Loomba,Crossbench,Life peer,Not Content
phone line doesnt connect - to email,020 7219 5353,Baroness Ludford,False,ludfords@parliament.uk,Liberal Democrat,2,,,1867,Baroness,Ludford,020 7219 5353,,,,,,
,020 7219 5353,Lord Lupton,False,luptonj@parliament.uk,Non-affiliated,2,,,4550,Lord,Lupton,020 7219 5353,,,,,,
,020 7219 5353,Lord Mair,False,contactholmember@parliament.uk,Crossbench,2,,,4563,Lord,Mair,020 7219 5353,,,,,,
