Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address
Phone number not working,020 7219 8997,Lord Patel of Bradford,FALSE,patelkk@parliament.uk,Non-affiliated,1,,,3798,Patel,of Bradford,020 7219 8997,,
Voicemail left,020 7931 7211; 077 4596 1677,Lord Kilclooney,FALSE,kilclooneyj@parliament.uk,Crossbench,1,,,657,Lord,Kilclooney,020 7931 7211; 077 4596 1677,,
only contactable via email,0207 219 5353,Baroness Foster of Aghadrumsee,FALSE,fosterab@parliament.uk,Non-affiliated,1,,,4969,Baroness,Foster of Aghadrumsee,0207 219 5353,,
only contactable by email,0207 219 5353,Lord Peach,FALSE,contactholmember@parliament.uk,Crossbench,1,,,4975,Lord,Peach,0207 219 5353,,
"tried calling, phone apparently ""not connecting"" will email now.",0207 219 5353,Lord Teverson,FALSE,teversonr@parliament.uk,Liberal Democrat,1,,,3789,Lord,Teverson,0207 219 5353,,
voicemail left,0207 219 5353,Baroness Tyler of Enfield,FALSE,tylerc@parliament.uk,Liberal Democrat,1,,,4231,Baroness,Tyler of Enfield,0207 219 5353,,
message left with assistant,0207 219 5353,The Lord Bishop of Sheffield,FALSE,wilcoxp@parliament.uk,Bishops,1,,,4980,The,Bishop of Sheffield,0207 219 5353,,
no ext,Tel: 020 7219 5353,Lord Richards of Herstmonceux,FALSE,contactholmember@parliament.uk,Crossbench,1,,,4317,Richards,of Herstmonceux,Tel: 020 7219 5353,,
Voicemail,,Baroness Smith of Llanfaes,FALSE,carmen.smith@parliament.uk,Plaid Cymru,1,,,5023,Baroness,Smith of Llanfaes,020 7219 5353,,
only reachable by email,020 7219 5353,Lord Anderson of Ipswich,FALSE,andersondw@parliament.uk,Crossbench,2,,,4705,Anderson,of Ipswich,020 7219 5353,,
only reachable by email,020 7219 5353,Baroness Bennett of Manor Castle,FALSE,bennettn@parliament.uk,Green Party,2,,,4719,Baroness,Bennett of Manor Castle,020 7219 5353,,
voicemail left,020 7219 5353,Lord Addington,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,3453,Lord,Addington,020 7219 5353,,
vocie message left ,020 7219 5353,Lord Adebowale,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2175,Lord,Adebowale,020 7219 5353,,
only reachable by email,020 7219 5353,Baroness Batters,FALSE,contactholmember@parliament.uk,Crossbench,2,,,5367,Baroness,Batters,020 7219 5353,,
no answer,020 7219 5353,Lord Benyon,FALSE,benyonr@parliament.uk,Crossbench,2,,,1547,Lord,Benyon,020 7219 5353,,
only reachable by email,020 7219 5353,Lord Bew,FALSE,bewp@parliament.uk,Crossbench,2,,,3832,Lord,Bew,020 7219 5353,,
voice message left,020 7219 5353,Lord Bichard,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3863,Lord,Bichard,020 7219 5353,,
email only. spoke to their assistant were sympathetic ,020 7219 5353,Lord Bilimoria,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3809,Lord,Bilimoria,020 7219 5353,,
no answer,020 7219 5353,Lord Bird,FALSE,birdja@parliament.uk,Crossbench,2,,,4564,Lord,Bird,020 7219 5353,,
email only,020 7219 5353,Baroness Black of Strome,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4915,Baroness,Black of Strome,020 7219 5353,,
goes to voicemail - not left one,020 7219 5353,Baroness Bonham-Carter of Yarnbury,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,3699,Baroness,Bonham-Carter of Yarnbury,020 7219 5353,,
email only,020 7219 5353,Lord Botham,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4884,Lord,Botham,020 7219 5353,,
voicemail left,020 7219 5353,Baroness Bowles of Berkhamsted,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4562,Baroness,Bowles of Berkhamsted,020 7219 5353,,
straight to voicemail ,020 7219 5353,Lord Bowness,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3496,Lord,Bowness,020 7219 5353,,
email only,020 7219 5353,Baroness Boycott,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4704,Baroness,Boycott,020 7219 5353,,
email only,020 7219 5353,Lord Brennan,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,2550,Lord,Brennan,020 7219 5353,,
email only,020 7219 5353,Baroness Brinton,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4241,Baroness,Brinton,020 7219 5353,,
email only,020 7219 5353,Baroness Bull,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4706,Baroness,Bull,020 7219 5353,,
email only,020 7219 5353,Lord Burnett,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,238,Lord,Burnett,020 7219 5353,,
email only,020 7219 5353,Lord Burns,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3351,Lord,Burns,020 7219 5353,,
email only,020 7219 5353,Baroness Campbell of Loughborough,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3871,Baroness,Campbell of Loughborough,020 7219 5353,,
email only,020 7219 5353,Baroness Casey of Blackstock,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4896,Baroness,Casey of Blackstock,020 7219 5353,,
email only,020 7219 5353,Baroness Cass,FALSE,rivisn@parliament.uk (staff),Crossbench,2,,,5369,Baroness,Cass,020 7219 5353,,
vociemail left,020 7219 5353,Baroness Cavendish of Little Venice,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4578,Baroness,Cavendish of Little Venice,020 7219 5353,,
email only,020 7219 5353,Lord Chartres,FALSE,contactholmember@parliament.uk,Crossbench,2,,,1946,Lord,Chartres,020 7219 5353,,
vociemail left,020 7219 5353,Baroness Chisholm of Owlpen,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4330,Baroness,Chisholm of Owlpen,020 7219 5353,,
only e mail,020 7219 5353,Baroness Clark of Calton,FALSE,contactholmember@parliament.uk,Crossbench,2,,,599,Baroness,Clark of Calton,020 7219 5353,,
voicemail left,020 7219 5353,Lord Clement-Jones,FALSE,clementjonest@parliament.uk,Liberal Democrat,2,,,3396,Lord,Clement-Jones,020 7219 5353,,
no ext,020 7219 5353,Lord de Clifford,FALSE,decliffordm@parliament.uk,Crossbench,2,,,4997,de,Clifford,020 7219 5353,,
"Spoken to him, says he wasn't aware of it but not in his remit as too stretched - seems to deal with school issues not with this.",020 7219 5353,Viscount Colville of Culross,FALSE,colvillec@parliament.uk,Crossbench,2,,,4248,Viscount,Colville of Culross,020 7219 5353,,
got through switchboard but unavailable,020 7219 5353,Baroness Cox,FALSE,caroline.cox@hart-uk.org,Crossbench,2,,,3364,Baroness,Cox,020 7219 5353,,
got through switchboard but cut out leaving perosnlised e mail (worked with him in past),020 7219 5353,Lord Crisp,TRUE,crisp@parliament.uk,Crossbench,2,,,3783,Lord,Crisp,020 7219 5353,,
got through switchboard but unavailable,020 7219 5353,Lord Dear,FALSE,deargj@parliament.uk,Crossbench,2,,,3808,Lord,Dear,020 7219 5353,,
e mail only,020 7219 5353,Baroness Deech,FALSE,deechr@parliament.uk,Crossbench,2,,,3756,Baroness,Deech,020 7219 5353,,
no number ,020 7219 5353,The Duke of Norfolk,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2194,The,Duke of Norfolk,020 7219 5353,,
no number ,020 7219 5353,The Duke of Somerset,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3147,The,Duke of Somerset,020 7219 5353,,
no number,020 7219 5353,The Duke of Wellington,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4541,The,Duke of Wellington,020 7219 5353,,
left voice mail,020 7219 5353,Lord Dykes,FALSE,dykesh@parliament.uk,Crossbench,2,,,810,Lord,Dykes,020 7219 5353,,
voicemail ,020 7219 5353,Lord Eames,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2793,Lord,Eames,020 7219 5353,,
left voicemail,020 7219 5353,The Earl of Clancarty,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3391,The,Earl of Clancarty,020 7219 5353,,
email only,020 7219 5353,The Earl of Devon,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4707,The,Earl of Devon,020 7219 5353,,
,020 7219 5353,The Earl of Erroll,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2804,The,Earl of Erroll,020 7219 5353,,
Spoke to Earl but line disconnected not attening today ,020 7219 5353,The Earl of Glasgow,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,2608,The,Earl of Glasgow,020 7219 5353,,
Left voicemail (Me too),020 7219 5353,The Earl of Kinnoull,FALSE,kinnoull@parliament.uk,Crossbench,2,,,4354,The,Earl of Kinnoull,020 7219 5353,,
No answer,020 7219 5353,The Earl of Lytton,FALSE,contactholmember@parliament.uk,Crossbench,2,,,1864,The,Earl of Lytton,020 7219 5353,,
No parlimentry extension number,020 7219 5353,The Earl of Rosslyn,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3135,The,Earl of Rosslyn,020 7219 5353,,
No parlimentry extension number,020 7219 5353,The Earl of Stair,FALSE,dalrymplej@parliament.uk,Crossbench,2,,,3137,The,Earl of Stair,020 7219 5353,,
callling,020 7219 5353,Baroness Fairhead,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4690,Baroness,Fairhead,020 7219 5353,,
voicemail left,020 7219 5353,Lord Faulks,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4183,Lord,Faulks,020 7219 5353,,
voicemail,020 7219 5353,Baroness Featherstone,FALSE,featherstonel@parliament.uk,Liberal Democrat,2,,,1531,Baroness,Featherstone,020 7219 5353,,
voicemail left,020 7219 5353,Baroness Ford,FALSE,fordm@parliament.uk,Crossbench,2,,,3791,Baroness,Ford,020 7219 5353,,
Done - this lord speaker doesnt get a vote apparently and has to stay neutral,020 7219 5353,Lord Fowler,FALSE,fowlern@parliament.uk,Crossbench,2,,,315,Lord,Fowler,020 7219 5353,,
No answer ,020 7219 5353,Baroness Freeman of Steventon,FALSE,freemana@parliament.uk,Crossbench,2,,,5026,Baroness,Freeman of Steventon,020 7219 5353,,
Voicemail,020 7219 5353,Lord Gadhia,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4575,Lord,Gadhia,020 7219 5353,,
No number available,020 7219 5353,Baroness Gohir,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4944,Baroness,Gohir,020 7219 5353,,
no number available,020 7219 5353,Lord Grabiner,FALSE,grabinera@parliament.uk / agrabiner@oeclaw.co.uk,Crossbench,2,,,2496,Lord,Grabiner,020 7219 5353,,
no number available,020 7219 5353,Baroness Greenfield,FALSE,greenfieldsu@parliament.uk,Crossbench,2,,,2166,Baroness,Greenfield,020 7219 5353,,
didnt answer,020 7219 5353,Lord Greenway,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3569,Lord,Greenway,020 7219 5353,,
didnt answer,020 7219 5353,Baroness Grender,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4291,Baroness,Grender,020 7219 5353,,
,020 7219 5353,Baroness Hale of Richmond,FALSE,haleb@parliament.uk,Crossbench,2,,,3652,Baroness,Hale of Richmond,020 7219 5353,,
Says email only ,020 7219 5353,Baroness Hallett,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4721,Baroness,Hallett,020 7219 5353,,
,020 7219 5353,Lord Hameed,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3767,Lord,Hameed,020 7219 5353,,
,020 7219 5353,Lord Hampton,FALSE,pakingtonj@parliament.uk,Crossbench,2,,,4951,Lord,Hampton,020 7219 5353,,
,020 7219 5353,Baroness Hamwee,FALSE,hamwees@parliament.uk,Liberal Democrat,2,,,2652,Baroness,Hamwee,020 7219 5353,,
only contactable via email,020 7219 5353,Lord Hardie,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2647,Lord,Hardie,020 7219 5353,,
,020 7219 5353,Baroness Harris of Richmond,FALSE,harrisa@parliament.uk,Liberal Democrat,2,,,2505,Baroness,Harris of Richmond,020 7219 5353,,
,020 7219 5353,Baroness Hoey,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,210,Baroness,Hoey,020 7219 5353,,
,020 7219 5353,Lord Hogan-Howe,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4693,Lord,Hogan-Howe,020 7219 5353,,
,020 7219 5353,Baroness Hogg,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2632,Baroness,Hogg,020 7219 5353,,
,020 7219 5353,Baroness Humphreys,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4300,Baroness,Humphreys,020 7219 5353,,
,020 7219 5353,Baroness Hunt of Bethnal Green,FALSE,huntr@parliament.uk,Crossbench,2,,,4725,Baroness,Hunt of Bethnal Green,020 7219 5353,,
Voicemail left ,020 7219 5353,Lord Hussain,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4221,Lord,Hussain,020 7219 5353,,
Voicemail left ,020 7219 5353,Baroness Hussein-Ece,FALSE,ecem@parliament.uk,Liberal Democrat,2,,,4164,Baroness,Hussein-Ece,020 7219 5353,,
,020 7219 5353,Lord Janvrin,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3838,Lord,Janvrin,020 7219 5353,,
,020 7219 5353,Lord St John of Bletso,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2155,St,John of Bletso,020 7219 5353,,
,020 7219 5353,Baroness Kidron,FALSE,kidronb@parliament.uk,Crossbench,2,,,4258,Baroness,Kidron,020 7219 5353,,
,020 7219 5353,Lord Krebs,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3736,Lord,Krebs,020 7219 5353,,
,020 7219 5353,Baroness Lampard,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4973,Baroness,Lampard,0207 219 5353,,
,020 7219 5353,Baroness Lane-Fox of Soho,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4275,Baroness,Lane-Fox of Soho,020 7219 5353,,
,020 7219 5353,Lord Lebedev,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4900,Lord,Lebedev,020 7219 5353,,
,020 7219 5353,Lord Lisvane,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4351,Lord,Lisvane,020 7219 5353,,
,020 7219 5353,Lord Londesborough,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2047,Lord,Londesborough,020 7219 5353,,
,020 7219 5353,Lord Loomba,FALSE,loombar@parliament.uk,Crossbench,2,,,4209,Lord,Loomba,020 7219 5353,,
phone line doesnt connect - to email,020 7219 5353,Baroness Ludford,FALSE,ludfords@parliament.uk,Liberal Democrat,2,,,1867,Baroness,Ludford,020 7219 5353,,
,020 7219 5353,Lord Lupton,FALSE,luptonj@parliament.uk,Non-affiliated,2,,,4550,Lord,Lupton,020 7219 5353,,
,020 7219 5353,Lord Mair,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4563,Lord,Mair,020 7219 5353,,
,020 7219 5353,Lord Mance,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3754,Lord,Mance,020 7219 5353,,
left voicemail,020 7219 5353,Baroness Manningham-Buller,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3857,Baroness,Manningham-Buller,020 7219 5353,,
,020 7219 5353,Lord Mawson,FALSE,,Crossbench,2,,,3830,Lord,Mawson,020 7219 5353,,
no ext,020 7219 5353,Baroness McGregor-Smith,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4554,Baroness,McGregor-Smith,020 7219 5353,,
,020 7219 5353,Lord Meston,FALSE,contactholmember@parliament.uk,Crossbench,2,,,1940,Lord,Meston,020 7219 5353,,
Call self ended during voicemail script ,020 7219 5353,Baroness Miller of Chilthorne Domer,FALSE,millers@parliament.uk,Liberal Democrat,2,,,1934,Baroness,Miller of Chilthorne Domer,020 7219 5353,,
,020 7219 5353,Baroness Morgan of Cotes,FALSE,morganna@parliament.uk,Non-affiliated,2,,,4027,Baroness,Morgan of Cotes,020 7219 5353,,
,020 7219 5353,Lord Mountevans,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4539,Lord,Mountevans,020 7219 5353,,
,020 7219 5353,Baroness Moyo,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4968,Baroness,Moyo,020 7219 5353,,
