Member,Party,Type of Peerage,Vote
"Baroness Jenkin of Kennington","Conservative","Life peer","Not Content"
"Baroness Jones of Moulsecoomb","Green Party","Life peer","Teller - Content"
"Baroness Jones of Whitchurch","Labour","Life peer","Not Content"
"Lord Katz","Labour","Life peer","Not Content"
"Baroness Kennedy of Cradley","Labour","Life peer","Not Content"
"Lord Kennedy of Southwark","Labour","Life peer","Teller - Not Content"
"Baroness Laing of Elderslie","Conservative","Life peer","Not Content"
"Lord Lamont of Lerwick","Conservative","Life peer","Not Content"
"Lord Lemos","Labour","Life peer","Not Content"
"Lord Leong","Labour","Life peer","Not Content"
"Baroness Levitt","Labour","Life peer","Not Content"
"Lord Liddle","Labour","Life peer","Not Content"
"Lord Lilley","Conservative","Life peer","Not Content"
"Baroness Longfield","Labour","Life peer","Not Content"
"Lord Loomba","Crossbench","Life peer","Not Content"
"Lord Lucas","Conservative","Excepted Hereditary","Not Content"
"Lord Mann","Labour","Life peer","Not Content"
"Baroness Mattinson","Labour","Life peer","Not Content"
"Lord McCabe","Labour","Life peer","Not Content"
"Baroness McIntosh of Pickering","Conservative","Life peer","Not Content"
"Lord McNicol of West Kilbride","Labour","Life peer","Not Content"
"Baroness Meacher","Crossbench","Life peer","Not Content"
"Lord Meston","Crossbench","Excepted Hereditary","Not Content"
"Baroness Miller of Chilthorne Domer","Liberal Democrat","Life peer","Content"
"Baroness Monckton of Dallington Forest","Conservative","Life peer","Not Content"
"Lord Moore of Etchingham","Non-affiliated","Life peer","Not Content"
"Baroness Morgan of Drefelin","Labour","Life peer","Not Content"
"Baroness Morris of Bolton","Conservative","Life peer","Not Content"
"Baroness Morris of Yardley","Labour","Life peer","Not Content"
"Lord Mott","Conservative","Life peer","Not Content"
"Baroness Neville-Rolfe","Conservative","Life peer","Not Content"
"Baroness Nicholson of Winterbourne","Conservative","Life peer","Not Content"
"Lord Norton of Louth","Conservative","Life peer","Not Content"
"Baroness O'Grady of Upper Holloway","Labour","Life peer","Content"
"Lord Paddick","Non-affiliated","Life peer","Content"
"Lord Palmer of Childs Hill","Liberal Democrat","Life peer","Not Content"
"Lord Pannick","Crossbench","Life peer","Not Content"
"Lord Patel","Crossbench","Life peer","Not Content"
"Lord Pitkeathley of Camden Town","Labour","Life peer","Not Content"
"Lord Ponsonby of Shulbrede","Labour","Life peer","Not Content"
"Baroness Ramsay of Cartvale","Labour","Life peer","Not Content"
"Lord Randall of Uxbridge","Conservative","Life peer","Not Content"
"Lord Raval","Labour","Life peer","Not Content"
"Lord Reay","Conservative","Excepted Hereditary","Not Content"
"Lord Rees of Easton","Labour","Life peer","Not Content"
"Lord Reid of Cardowan","Labour","Life peer","Not Content"
"Lord Roberts of Belgravia","Conservative","Life peer","Not Content"
"Lord Robertson of Port Ellen","Labour","Life peer","Not Content"
"Lord Rook","Labour","Life peer","Not Content"
"Lord Rooker","Labour","Life peer","Not Content"
"Lord Sahota","Labour","Life peer","Not Content"
"Baroness Scott of Bybrook","Conservative","Life peer","Not Content"
"Lord Scriven","Liberal Democrat","Life peer","Content"
"Lord Sharpe of Epsom","Conservative","Life peer","Not Content"
"Lord Shinkwin","Conservative","Life peer","Not Content"
"Baroness Smith of Basildon","Labour","Life peer","Not Content"
"Lord Smith of Hindhead","Conservative","Life peer","Not Content"
"Baroness Smith of Llanfaes","Plaid Cymru","Life peer","Content"
"Baroness Smith of Malvern","Labour","Life peer","Not Content"
"Lord Spellar","Labour","Life peer","Not Content"
"Baroness Spielman","Conservative","Life peer","Not Content"
"Viscount Stansgate","Labour","Excepted Hereditary","Not Content"
"Baroness Stedman-Scott","Conservative","Life peer","Not Content"
"Baroness Stowell of Beeston","Conservative","Life peer","Not Content"
"Lord Strathclyde","Conservative","Excepted Hereditary","Not Content"
"Baroness Taylor of Stevenage","Labour","Life peer","Not Content"
"Baroness Thornton","Labour","Life peer","Not Content"
"Lord Tope","Liberal Democrat","Life peer","Content"
"Lord True","Conservative","Life peer","Not Content"
"Lord Tunnicliffe","Labour","Life peer","Not Content"
"Lord Turnberg","Labour","Life peer","Not Content"
"Baroness Twycross","Labour","Life peer","Not Content"
"Baroness Uddin","Non-affiliated","Life peer","Content"
"Lord Udny-Lister","Conservative","Life peer","Not Content"
"Lord Walney","Crossbench","Life peer","Not Content"
"Baroness Warwick of Undercliffe","Labour","Life peer","Not Content"
"Lord Watson of Invergowrie","Labour","Life peer","Not Content"
"Lord Watson of Wyre Forest","Labour","Life peer","Not Content"
"Lord Weir of Ballyholme","Democratic Unionist Party","Life peer","Not Content"
"Lord Wharton of Yarm","Conservative","Life peer","Not Content"
"Baroness Wheeler","Labour","Life peer","Not Content"
"Baroness Wilcox of Newport","Labour","Life peer","Not Content"
"Baroness Williams of Trafford","Conservative","Life peer","Teller - Not Content"
"Lord Winston","Labour","Life peer","Not Content"
"Lord Young of Cookham","Conservative","Life peer","Not Content"
"Lord Young of Norwood Green","Labour","Life peer","Not Content"
"Baroness Young of Old Scone","Labour","Life peer","Not Content"
"Viscount Younger of Leckie","Conservative","Excepted Hereditary","Not Content"
